GPT-香港,#genre#
CGTN,https://smt.passwdword.xyz/Smart.php?id=CGTN
CNN International,https://smt.passwdword.xyz/Smart.php?id=Cnn
CNN backup,https://smt.passwdword.xyz/Smart.php?id=cnn_twn
CNBC,https://smt.passwdword.xyz/Smart.php?id=cnbc_twn
CNA,https://smt.passwdword.xyz/Smart.php?id=cna
BBC World News,https://smt.passwdword.xyz/Smart.php?id=bbcnews_twn
BBC World News,https://smt.passwdword.xyz/Smart.php?id=Bbcnews
Bloomberg News,https://smt.passwdword.xyz/Smart.php?id=bloomberg_twn
Al-Jazeera,https://smt.passwdword.xyz/Smart.php?id=aljazeera_twn
GPT-儿童,#genre#
Baby TV Eng,https://smt.passwdword.xyz/Smart.php?id=Babytv
CBeebies,https://smt.passwdword.xyz/Smart.php?id=Cbeebies
Kids TV,https://smt.passwdword.xyz/Smart.php?id=KidsTV
Momo TV,https://smt.passwdword.xyz/Smart.php?id=momo1_twn
Animax,https://smt.passwdword.xyz/Smart.php?id=Animax
Baby TV,https://smt.passwdword.xyz/Smart.php?id=babytv_twn
MiaoMi,https://smt.passwdword.xyz/Smart.php?id=MiaoMi
靖天卡通,https://smt.passwdword.xyz/Smart.php?id=jingtiancartoon_twn
东森幼幼,https://smt.passwdword.xyz/Smart.php?id=yoyo_twn
Cartoon Network,https://smt.passwdword.xyz/Smart.php?id=Cn
Nickelodeon,https://smt.passwdword.xyz/Smart.php?id=Nickelodeon
Nick Jr,https://smt.passwdword.xyz/Smart.php?id=Nickjr
GPT-体育,#genre#
Astro Premier League 1,https://smt.passwdword.xyz/Smart.php?id=go_assp1
Astro EPL 1 backup,https://smt.passwdword.xyz/Smart.php?id=go_assp1x
Astro Premier League 2,https://smt.passwdword.xyz/Smart.php?id=go_assp2
Astro Grandstand,https://smt.passwdword.xyz/Smart.php?id=go_assp3
Astro Football,https://smt.passwdword.xyz/Smart.php?id=go_assp4
Astro Sports Plus,https://smt.passwdword.xyz/Smart.php?id=go_sportsplus
Astro Badminton 1,https://smt.passwdword.xyz/Smart.php?id=go_badminton1
Astro Badminton 2,https://smt.passwdword.xyz/Smart.php?id=go_badminton2
Astro W-Sports,https://smt.passwdword.xyz/Smart.php?id=go_assp5
Supersports 1,https://smt.passwdword.xyz/Smart.php?id=Assp1
Supersports 2,https://smt.passwdword.xyz/Smart.php?id=Assp2
Supersports 3,https://smt.passwdword.xyz/Smart.php?id=Assp3
Supersports 4,https://smt.passwdword.xyz/Smart.php?id=Assp4
WWE,https://smt.passwdword.xyz/Smart.php?id=Wwe
Fight Sports,https://smt.passwdword.xyz/Smart.php?id=Fs
NBA TV,https://smt.passwdword.xyz/Smart.php?id=Nba
Astro Cricket,https://smt.passwdword.xyz/Smart.php?id=Acricket
Astro Golf,https://smt.passwdword.xyz/Smart.php?id=Agolf
Tnt Sports 1,https://smt.passwdword.xyz/Smart.php?id=6fac0aaead
TNT Sports 2,https://smt.passwdword.xyz/Smart.php?id=d9a76a79cc
TNT Sports 3,https://smt.passwdword.xyz/Smart.php?id=5fea4d73db
TNT Sports 4,https://smt.passwdword.xyz/Smart.php?id=tntsport4
Sony Ten 1,https://smt.passwdword.xyz/Smart.php?id=ten1_raj
Sony Ten 2,https://smt.passwdword.xyz/Smart.php?id=ten2_raj
Sony Ten 3,https://smt.passwdword.xyz/Smart.php?id=ten3_raj
SPOTV 1 HD,https://smt.passwdword.xyz/Smart.php?id=go_spotv
SPO TV 2,https://smt.passwdword.xyz/Smart.php?id=go_spotv2
Skysports F1,https://smt.passwdword.xyz/Smart.php?id=tiankongf1
Skysports Cricket,https://smt.passwdword.xyz/Smart.php?id=tiankongcricket
Skysports EPL,https://smt.passwdword.xyz/Smart.php?id=tiankongepl
Skysports Main Event,https://smt.passwdword.xyz/Smart.php?id=tiankongmain
Skysports News,https://smt.passwdword.xyz/Smart.php?id=tiankongnews
Skysports Mix,https://smt.passwdword.xyz/Smart.php?id=tiankongmix
CCTV-5 体育频道,https://smt.passwdword.xyz/Smart.php?id=cctv5
CCTV-5+ 体育赛事 HD,https://smt.passwdword.xyz/Smart.php?id=cctv5plus
爱尔达体育2台,https://smt.passwdword.xyz/Smart.php?id=eltasport2_twn
爱尔达体育3台,https://smt.passwdword.xyz/Smart.php?id=eltasport3_twn
Rugby Pass TV,https://smt.passwdword.xyz/Smart.php?id=Rugbypasstv
RTM Sports HD,https://smt.passwdword.xyz/Smart.php?id=Rtmsport
Arena,https://smt.passwdword.xyz/Smart.php?id=Arena
Arena 2,https://smt.passwdword.xyz/Smart.php?id=Arena2
BolaArena 1,https://smt.passwdword.xyz/Smart.php?id=Bolaarena1
BolaArena 2,https://smt.passwdword.xyz/Smart.php?id=Bolaarena2
Astro Beinsports 1,https://smt.passwdword.xyz/Smart.php?id=Astrobein1
Astro Beinsports 2,https://smt.passwdword.xyz/Smart.php?id=Astrobein2
Astro Beinsports 3,https://smt.passwdword.xyz/Smart.php?id=Astrobein3
GPT-新加坡,#genre#
Channel 5,https://smt.passwdword.xyz/Smart.php?id=Channel5HD
Channel 8,https://smt.passwdword.xyz/Smart.php?id=Channel8HD
Suria,https://smt.passwdword.xyz/Smart.php?id=Suria
Channel U,https://smt.passwdword.xyz/Smart.php?id=ChannelU
Vasantham,https://smt.passwdword.xyz/Smart.php?id=Vasantham
CNA,https://smt.passwdword.xyz/Smart.php?id=cna
CNA backup,https://smt.passwdword.xyz/Smart.php?id=cna_twn
MeWatch Ch 5,https://smt.passwdword.xyz/Smart.php?id=Mewatch_ch5
MeWatch Ch 8,https://smt.passwdword.xyz/Smart.php?id=Mewatch_ch8
MeWatch Ch U,https://smt.passwdword.xyz/Smart.php?id=Mewatch_chU
MeWatch Suria,https://smt.passwdword.xyz/Smart.php?id=Mewatch_Suria
MeWatch Vasantham,https://smt.passwdword.xyz/Smart.php?id=Mewatch_Vasantham
MeWatch CNA,https://smt.passwdword.xyz/Smart.php?id=Mewatch_cna
GPT-马来西亚,#genre#
TV1,https://smt.passwdword.xyz/Smart.php?id=TV1
TV1 backup,https://smt.passwdword.xyz/Smart.php?id=TV1_backup
TV2,https://smt.passwdword.xyz/Smart.php?id=TV2
TV3,https://smt.passwdword.xyz/Smart.php?id=TV3
TV3 SD,https://smt.passwdword.xyz/Smart.php?id=TV3_mega
NTV7,https://smt.passwdword.xyz/Smart.php?id=NTV7
TV8,https://smt.passwdword.xyz/Smart.php?id=TV8
TV9,https://smt.passwdword.xyz/Smart.php?id=TV9
Ria,https://smt.passwdword.xyz/Smart.php?id=Ria-0
Ria-3,https://smt.passwdword.xyz/Smart.php?id=Ria_backup
Al-Hijrah,https://smt.passwdword.xyz/Smart.php?id=Alhijrah
Al-Hijrah backup,https://smt.passwdword.xyz/Smart.php?id=Alhijrah_backup
Awani,https://smt.passwdword.xyz/Smart.php?id=Awani
Bernama,https://smt.passwdword.xyz/Smart.php?id=Bernama
Prima,https://smt.passwdword.xyz/Smart.php?id=Prima-0
Prima backup,https://smt.passwdword.xyz/Smart.php?id=AAprima1
Prima backup 2,https://smt.passwdword.xyz/Smart.php?id=AAprima
Ceria,https://smt.passwdword.xyz/Smart.php?id=Ceria
Astro MTV,https://smt.passwdword.xyz/Smart.php?id=AstroMTV
Mecca Live HD,https://smt.passwdword.xyz/Smart.php?id=quran_mido
Madinah HD,https://smt.passwdword.xyz/Smart.php?id=sunnah_mido
Oasis,https://smt.passwdword.xyz/Smart.php?id=Oasis
HBO HD,https://smt.passwdword.xyz/Smart.php?id=Hbo
HBO Signature,https://smt.passwdword.xyz/Smart.php?id=Hbosignature
HBO Hits,https://smt.passwdword.xyz/Smart.php?id=Hbohitshd
NatGeo Wild HD,https://smt.passwdword.xyz/Smart.php?id=Natgeowild
Cartoon Network,https://smt.passwdword.xyz/Smart.php?id=Cn
Nickelodeon,https://smt.passwdword.xyz/Smart.php?id=Nickelodeon
Nick Jr,https://smt.passwdword.xyz/Smart.php?id=Nickjr
Dreamworks,https://smt.passwdword.xyz/Smart.php?id=Dreamworks
Siar,https://smt.passwdword.xyz/Smart.php?id=Siar
Citra,https://smt.passwdword.xyz/Smart.php?id=AAcitra
Citra backup,https://smt.passwdword.xyz/Smart.php?id=AAcitra1
Sensasi,https://smt.passwdword.xyz/Smart.php?id=Sensasi
Aura,https://smt.passwdword.xyz/Smart.php?id=Aura
Rania,https://smt.passwdword.xyz/Smart.php?id=Rania
KBS World,https://smt.passwdword.xyz/Smart.php?id=KBS
Boo,https://smt.passwdword.xyz/Smart.php?id=Boo
Awesome TV,https://smt.passwdword.xyz/Smart.php?id=Dsangat
Astro Sonypix,https://smt.passwdword.xyz/Smart.php?id=Asonypix
Sony HD,https://smt.passwdword.xyz/Smart.php?id=SetOne
TvN,https://smt.passwdword.xyz/Smart.php?id=TVN
AEC,https://smt.passwdword.xyz/Smart.php?id=AEC
华丽台 HD （Wah Lai Toi）,https://smt.passwdword.xyz/Smart.php?id=Wlt
欢喜台 HD （Hua Hee Tai）,https://smt.passwdword.xyz/Smart.php?id=Huahee
Astro QJ,https://smt.passwdword.xyz/Smart.php?id=Quanjia
TVB Jade,https://smt.passwdword.xyz/Smart.php?id=Tvbjade
TVB Asia,https://smt.passwdword.xyz/Smart.php?id=Tvbasia
TVB Entertainment,https://smt.passwdword.xyz/Smart.php?id=Tvbentertainment
TVB Classic,https://smt.passwdword.xyz/Smart.php?id=Tvbclassic
AOD,https://smt.passwdword.xyz/Smart.php?id=Aodhd
One,https://smt.passwdword.xyz/Smart.php?id=One
TVB 星河台 Xing He,https://smt.passwdword.xyz/Smart.php?id=Xinhe
爱奇艺 iQiyi,https://smt.passwdword.xyz/Smart.php?id=Qiyi
Animal Planet (Eng),https://smt.passwdword.xyz/Smart.php?id=AnimalPlanet
tvN Movie,https://smt.passwdword.xyz/Smart.php?id=Tvnmovie
CNN backup,https://smt.passwdword.xyz/Smart.php?id=cnn_twn
Celestial Classic,https://smt.passwdword.xyz/Smart.php?id=Celestial2
CNBC,https://smt.passwdword.xyz/Smart.php?id=cnbc_twn
TLC,https://smt.passwdword.xyz/Smart.php?id=Tlc
CNA,https://smt.passwdword.xyz/Smart.php?id=cna
BBC World News,https://smt.passwdword.xyz/Smart.php?id=bbcnews_twn
Foodnetwork Hd,https://smt.passwdword.xyz/Smart.php?id=Foodnetwork
HGTV,https://smt.passwdword.xyz/Smart.php?id=HGTV
Goshop,https://smt.passwdword.xyz/Smart.php?id=Goshop
Celestial Movies HD,https://smt.passwdword.xyz/Smart.php?id=Celestial
Axn HD,https://smt.passwdword.xyz/Smart.php?id=Axn
Paramount Network,https://smt.passwdword.xyz/Smart.php?id=Paramountnetwork
Astrol Kplus,https://smt.passwdword.xyz/Smart.php?id=Kplus
AFC 亚洲旅游台,https://smt.passwdword.xyz/Smart.php?id=asiatravel_twn
Rock Actions,https://smt.passwdword.xyz/Smart.php?id=Rockaction
Bloomberg News,https://smt.passwdword.xyz/Smart.php?id=bloomberg_twn
Al-Jazeera,https://smt.passwdword.xyz/Smart.php?id=aljazeera_twn
