台湾地区,#genre#
KBS1,http://live/live/t6u5b1q4/787b1cf0/index.m3u8
KBS2,http://live/live/t6u5b1q4/b7c242c8/index.m3u8
MBC,http://live/live/t6u5b1q4/8c654b96/index.m3u8
SBS,http://live/live/t6u5b1q4/96e03edf/index.m3u8
JTBC,http://live/live/t6u5b1q4/21fa5fa7/index.m3u8
TVN,http://live/live/t6u5b1q4/de30224e/index.m3u8
Arirang HD,http://live/live/kwzq1rse/h6h1s2j5/index.m3u8
YTN,http://live/live/kwzq1rse/m49f6d1a/index.m3u8
韩国KBS World,http://live/live/kwzq1rse/55d51e1e/index.m3u8
KBS WORLD 24,https://www.youtube.com/watch?v=EIfaYst9ZsY

体育频道,#genre#
supersport1,http://live/live/t6u5b1q4/bsport48/index.m3u8
supersport2,http://live/live/t6u5b1q4/2cad0172/index.m3u8
supersport3,http://live/live/t6u5b1q4/bsport49/index.m3u8
supersport4,http://live/live/t6u5b1q4/bsport59/index.m3u8
Sky Sports PremierLeague,http://live/live/e95cebf9/2ogiZev1/index.m3u8
Sky Sports Action,http://live/live/e95cebf9/c037b208/index.m3u8
NBA-TV,http://live/live/t6u5b1q4/519b9812/index.m3u8
FOX SPORTS 1 HD,http://live/live/e95cebf9/1a74fff3/index.m3u8
FOX SPORTS 2 HD,http://live/live/e95cebf9/55de631b/index.m3u8
EURO SPORTS,http://live/live/kwzq1rse/jjf48w4x/index.m3u8
Bein Sport 1-8,http://live/live/e95cebf9/8027ea12/index.m3u8 (1-8类似)
GOLF,http://live/live/e95cebf9/a08de6dc/index.m3u8

新闻频道,#genre#
凤凰资讯HD,http://live/live/t6u5b1q4/871a556a/index.m3u8
TVB新闻,http://live/live/kwzq1rse/g9wq1prh/index.m3u8
SKY NEWS HD,http://live/live/kwzq1rse/8vfjmcsj/index.m3u8
CNBC,http://live/live/kwzq1rse/wnfjf1pn/index.m3u8
BBC World News,http://live/live/t6u5b1q4/03int076/index.m3u8
Bloomberg,https://www.youtube.com/watch?v=dp8PhLsUcFE
CNN HD,http://live/live/e95cebf9/3d33f845/index.m3u8
CNA HD,http://live/live/t6u5b1q4/00xjp004/index.m3u8
France 24(English),https://www.youtube.com/watch?v=jKWsY1tt8qw
DW-TV,https://www.youtube.com/watch?v=4nSZPqJfC_I

电影频道,#genre#
HBO HD,http://live/live/kwzq1rse/84wnpj8g/index.m3u8
HBO Hits,http://live/live/kwzq1rse/invnbjaa/index.m3u8
HBO Signature HD,http://live/live/kwzq1rse/8as1d3as/index.m3u8
AXN,http://live/live/kwzq1rse/q1t3r233/index.m3u8
CINEMAX,http://live/live/kwzq1rse/w6stt0q8/index.m3u8
龙华洋片,http://live/live/kwzq1rse/e22494cb/index.m3u8
好莱坞电影台,http://live/live/kwzq1rse/q0rskj6h/index.m3u8
星卫电影台 HD,http://live/live/kwzq1rse/6s69fnjz/index.m3u8
美亚电影台 HD,http://live/live/kwzq1rse/4vphhg1h/index.m3u8
CCTV-6 HD,http://live/live/kwzq1rse/494r502h/index.m3u8
东森电影,http://live/live/fchcah3u/q6t7f6hg/index.m3u8
Catchplay电影台,http://live/live/kwzq1rse/63t80c5p/index.m3u8
CinemaWorld,http://live/live/kwzq1rse/wrn6wjz7/index.m3u8
